DatGeracaoConjuntoDados;AnoReferencia;MesReferencia;NomUF;SigUF;MdaPotenciaInstaladakW
2026-07-01;2013;3 ;MATO GROSS;MT;2643031,00
2026-07-01;2013;3 ;PARA;PA;9054730,00
2026-07-01;2013;3 ;PARAIBA;PB;640470,00
2026-07-01;2013;3 ;PERNAMBUCO;PE;3210354,00
2026-07-01;2013;3 ;PIAUI;PI;316944,00
2026-07-01;2013;3 ;PARANA;PR;18141048,00
2026-07-01;2013;3 ;RIO DE JANEIRO;RJ;8700317,00
2026-07-01;2013;3 ;RIO GRANDE DO NORTE;RN;947204,00
2026-07-01;2013;3 ;RONDONIA;RO;1712459,00
2026-07-01;2013;3 ;RORAIMA;RR;122610,00
2026-07-01;2013;3 ;RIO GRANDE DO SUL;RS;9047087,00
2026-07-01;2013;3 ;SANTA CATARINA;SC;7208126,00
2026-07-01;2013;3 ;SERGIPE;SE;3282279,00
2026-07-01;2013;3 ;SÃO PAULO;SP;25009767,00
2026-07-01;2013;3 ;TOCANTINS;TO;2908080,00
2026-07-01;2013;6 ;ACRE;AC;189691,00
2026-07-01;2013;6 ;ALAGOAS;AL;7748087,00
2026-07-01;2013;6 ;AMAZONAS;AM;2262845,00
2026-07-01;2013;6 ;AMAPA;AP;297949,00
2026-07-01;2013;6 ;BAHIA;BA;9883307,00
2026-07-01;2013;6 ;CEARA;CE;2170028,00
2026-07-01;2013;6 ;DISTRITO FEDERAL;DF;16178,00
2026-07-01;2013;6 ;ESPIRITO SANTO;ES;1872815,00
2026-07-01;2013;6 ;GOIAS;GO;10572043,00
2026-07-01;2013;6 ;MARANHAO;MA;2802595,00
2026-07-01;2013;6 ;MINAS GERAIS;MG;19806043,00
2026-07-01;2013;6 ;MATO GROSSO DO SUL;MS;8494892,00
2026-07-01;2013;6 ;MATO GROSSO;MT;2761190,00
2026-07-01;2013;6 ;PARA;PA;9054730,00
2026-07-01;2013;6 ;PARAIBA;PB;641470,00
2026-07-01;2013;6 ;PERNAMBUCO;PE;3190834,00
2026-07-01;2013;6 ;PIAUI;PI;316944,00
2026-07-01;2013;6 ;PARANA;PR;18150542,00
2026-07-01;2013;6 ;RIO DE JANEIRO;RJ;8618687,00
2026-07-01;2013;6 ;RIO GRANDE DO NORTE;RN;902251,00
2026-07-01;2013;6 ;RONDONIA;RO;1784168,00
2026-07-01;2013;6 ;RORAIMA;RR;122610,00
2026-07-01;2013;6 ;RIO GRANDE DO SUL;RS;9113983,00
2026-07-01;2013;6 ;SANTA CATARINA;SC;7211578,00
2026-07-01;2013;6 ;SERGIPE;SE;3281999,00
2026-07-01;2013;6 ;SÃO PAULO;SP;24960679,00
2026-07-01;2013;6 ;TOCANTINS;TO;2908080,00
2026-07-01;2013;9 ;ACRE;AC;190896,00
2026-07-01;2013;9 ;ALAGOAS;AL;7748087,00
2026-07-01;2013;9 ;AMAZONAS;AM;2262845,00
2026-07-01;2013;9 ;AMAPA;AP;297949,00
2026-07-01;2013;9 ;BAHIA;BA;9883307,00
2026-07-01;2013;9 ;CEARA;CE;2186828,00
2026-07-01;2013;9 ;DISTRITO FEDERAL;DF;16178,00
2026-07-01;2013;9 ;ESPIRITO SANTO;ES;1872815,00
2026-07-01;2013;9 ;GOIAS;GO;10576299,00
2026-07-01;2013;9 ;MARANHAO;MA;2802752,00
2026-07-01;2013;9 ;MINAS GERAIS;MG;20038178,00
2026-07-01;2013;9 ;MATO GROSSO DO SUL;MS;8661915,00
2026-07-01;2013;9 ;MATO GROSSO;MT;2804909,00
2026-07-01;2013;9 ;PARA;PA;9058286,00
2026-07-01;2013;9 ;PARAIBA;PB;641470,00
2026-07-01;2013;9 ;PERNAMBUCO;PE;3191201,00
2026-07-01;2013;9 ;PIAUI;PI;317136,00
2026-07-01;2013;9 ;PARANA;PR;18231871,00
2026-07-01;2013;9 ;RIO DE JANEIRO;RJ;8824091,00
2026-07-01;2013;9 ;RIO GRANDE DO NORTE;RN;902251,00
2026-07-01;2013;9 ;RONDONIA;RO;2005748,00
2026-07-01;2013;9 ;RORAIMA;RR;122610,00
2026-07-01;2013;9 ;RIO GRANDE DO SUL;RS;9123195,00
2026-07-01;2013;9 ;SANTA CATARINA;SC;7295298,00
2026-07-01;2013;9 ;SERGIPE;SE;3283199,00
2026-07-01;2013;9 ;SÃO PAULO;SP;25041984,00
2026-07-01;2013;9 ;TOCANTINS;TO;2988080,00
2026-07-01;2013;12;ACRE;AC;190896,00
2026-07-01;2013;12;ALAGOAS;AL;7748087,00
2026-07-01;2013;12;AMAZONAS;AM;2262845,00
2026-07-01;2013;12;AMAPA;AP;302549,00
2026-07-01;2013;12;BAHIA;BA;9885413,00
2026-07-01;2013;12;CEARA;CE;2607250,00
2026-07-01;2013;12;DISTRITO FEDERAL;DF;45918,00
2026-07-01;2013;12;ESPIRITO SANTO;ES;1872815,00
2026-07-01;2013;12;GOIAS;GO;10578599,00
2026-07-01;2013;12;MARANHAO;MA;3027829,00
2026-07-01;2013;12;MINAS GERAIS;MG;20095486,00
2026-07-01;2013;12;MATO GROSSO DO SUL;MS;8781922,00
2026-07-01;2013;12;MATO GROSSO;MT;2804909,00
2026-07-01;2013;12;PARA;PA;9059697,00
2026-07-01;2013;12;PARAIBA;PB;641470,00
2026-07-01;2013;12;PIAUI;PI;318115,00
2026-07-01;2013;12;PARANA;PR;18232699,00
2026-07-01;2013;12;RIO DE JANEIRO;RJ;8825077,00
2026-07-01;2013;12;RIO GRANDE DO NORTE;RN;930251,00
2026-07-01;2013;12;RONDONIA;RO;2144928,00
2026-07-01;2013;12;RORAIMA;RR;122610,00
2026-07-01;2013;12;RIO GRANDE DO SUL;RS;9132560,00
2026-07-01;2013;12;SANTA CATARINA;SC;7459793,00
2026-07-01;2013;12;SERGIPE;SE;3283199,00
2026-07-01;2013;12;SÃO PAULO;SP;25165389,00
2026-07-01;2013;12;TOCANTINS;TO;2988080,00
2026-07-01;2014;3 ;ACRE;AC;190896,00
2026-07-01;2014;3 ;ALAGOAS;AL;7748087,00
2026-07-01;2014;3 ;AMAZONAS;AM;2262845,00
2026-07-01;2014;3 ;AMAPA;AP;302549,00
2026-07-01;2014;3 ;BAHIA;BA;9885417,00
2026-07-01;2014;3 ;CEARA;CE;2671779,00
2026-07-01;2014;3 ;DISTRITO FEDERAL;DF;45918,00
2026-07-01;2014;3 ;ESPIRITO SANTO;ES;1881234,00
2026-07-01;2014;3 ;GOIAS;GO;10579551,00
2026-07-01;2014;3 ;MARANHAO;MA;3035229,00
2026-07-01;2014;3 ;MINAS GERAIS;MG;20146682,00
2026-07-01;2014;3 ;MATO GROSSO DO SUL;MS;8782685,00
2026-07-01;2014;3 ;MATO GROSSO;MT;2804909,00
2026-07-01;2014;3 ;PARA;PA;9059889,00
2026-07-01;2014;3 ;PARAIBA;PB;641470,00
2026-07-01;2014;3 ;PERNAMBUCO;PE;3394958,00
2026-07-01;2014;3 ;PIAUI;PI;318115,00
2026-07-01;2014;3 ;PARANA;PR;18233786,00
2026-07-01;2014;3 ;RIO DE JANEIRO;RJ;9052117,00
2026-07-01;2014;3 ;RIO GRANDE DO NORTE;RN;1204067,00
2026-07-01;2014;3 ;RORAIMA;RR;122610,00
2026-07-01;2014;3 ;RIO GRANDE DO SUL;RS;9197636,00
2026-07-01;2014;3 ;SANTA CATARINA;SC;7462276,00
2026-07-01;2014;3 ;SERGIPE;SE;3283199,00
2026-07-01;2014;3 ;SÃO PAULO;SP;25246570,00
2026-07-01;2014;3 ;TOCANTINS;TO;2988080,00
2026-07-01;2014;6 ;ACRE;AC;190896,00
2026-07-01;2014;6 ;ALAGOAS;AL;7749087,00
2026-07-01;2014;6 ;AMAZONAS;AM;2262845,00
2026-07-01;2014;6 ;AMAPA;AP;302549,00
2026-07-01;2014;6 ;BAHIA;BA;9888340,00
2026-07-01;2014;6 ;CEARA;CE;2905147,00
2026-07-01;2014;6 ;DISTRITO FEDERAL;DF;47377,00
2026-07-01;2014;6 ;ESPIRITO SANTO;ES;1870819,00
2026-07-01;2014;6 ;GOIAS;GO;10631699,00
2026-07-01;2014;6 ;MARANHAO;MA;3162629,00
2026-07-01;2014;6 ;MINAS GERAIS;MG;19539469,00
